,accommodates,review_scores_rating,bedrooms,bathrooms,beds,price,geometry,X,Y
42,2,100.0,1.0,1.0,1.0,35.0,POINT (1494450.105379853 6899036.141299774),1494450.1053798534,6899036.141299774
43,2,90.0,1.0,1.0,1.0,23.0,POINT (1494353.554864618 6899120.59357255),1494353.5548646182,6899120.5935725495
44,2,93.0,1.0,1.0,1.0,38.0,POINT (1494405.897437505 6898808.518142151),1494405.897437505,6898808.518142151
46,2,100.0,1.0,1.0,1.0,50.0,POINT (1494270.517153934 6898655.223426715),1494270.5171539343,6898655.2234267155
48,2,100.0,1.0,1.0,1.0,80.0,POINT (1493982.078047432 6899397.385358932),1493982.0780474315,6899397.385358932
49,3,100.0,1.0,1.0,2.0,64.0,POINT (1494133.390283344 6899093.945635904),1494133.3902833443,6899093.945635904
50,4,98.0,1.0,1.0,2.0,48.0,POINT (1494392.075194054 6899138.967936159),1494392.075194054,6899138.967936159
51,2,95.0,1.0,1.0,1.0,79.0,POINT (1494171.534980675 6899097.712308834),1494171.5349806752,6899097.712308834
53,2,100.0,1.0,1.0,1.0,80.0,POINT (1494430.742375614 6898944.080404687),1494430.7423756141,6898944.080404687
54,2,100.0,1.0,1.0,1.0,48.0,POINT (1493565.699844016 6899877.002568841),1493565.6998440158,6899877.002568841
55,3,100.0,1.0,1.0,2.0,85.0,POINT (1493385.61091668 6899601.655491311),1493385.61091668,6899601.655491311
56,2,100.0,1.0,1.0,1.0,42.0,POINT (1493557.679316885 6898481.088120412),1493557.6793168846,6898481.088120412
57,4,99.0,2.0,1.0,2.0,120.0,POINT (1494578.414259336 6898979.427175226),1494578.4142593362,6898979.427175226
58,4,95.0,1.0,1.0,2.0,52.0,POINT (1494154.520900046 6899170.738672769),1494154.5209000462,6899170.738672769
59,2,80.0,0.0,1.0,1.0,40.0,POINT (1494290.147799111 6898915.38354353),1494290.147799111,6898915.3835435305
60,2,100.0,1.0,1.0,1.0,35.0,POINT (1493998.160424125 6898853.524308777),1493998.160424125,6898853.524308777
61,2,97.0,1.0,1.0,1.0,108.0,POINT (1494384.614064214 6898897.696610441),1494384.6140642138,6898897.696610441
62,6,95.0,1.0,1.0,4.0,85.0,POINT (1494281.20644876 6899251.310508523),1494281.2064487597,6899251.310508523
64,3,90.0,2.0,2.0,2.0,105.0,POINT (1494064.632838735 6899445.707470384),1494064.6328387354,6899445.707470384
65,3,96.0,1.0,1.0,1.0,51.0,POINT (1494075.461783768 6899236.396464326),1494075.4617837684,6899236.396464326
66,2,80.0,0.0,1.0,1.0,51.0,POINT (1494375.988019051 6899196.199997573),1494375.9880190513,6899196.199997573
68,3,80.0,1.0,1.0,1.0,110.0,POINT (1494305.699553944 6899062.913937484),1494305.6995539437,6899062.913937484
69,4,100.0,1.0,1.0,2.0,75.0,POINT (1494445.625851488 6898867.949748892),1494445.6258514882,6898867.949748892
71,2,85.0,1.0,1.0,1.0,62.0,POINT (1494281.953033346 6898676.323286381),1494281.953033346,6898676.323286381
72,2,98.0,1.0,1.0,1.0,48.0,POINT (1494059.863141714 6899451.14820278),1494059.863141714,6899451.14820278
74,2,97.0,1.0,1.0,1.0,63.0,POINT (1494378.644782206 6898333.246583125),1494378.6447822058,6898333.246583125
75,8,95.0,2.0,1.0,4.0,100.0,POINT (1494170.154914983 6899451.799068885),1494170.1549149828,6899451.799068885
76,4,100.0,1.0,1.0,4.0,79.0,POINT (1494214.682293688 6899237.950582408),1494214.6822936882,6899237.950582408
77,2,90.0,1.0,1.0,1.0,48.0,POINT (1493929.260918844 6898566.026951331),1493929.2609188438,6898566.026951331
79,2,96.0,1.0,1.0,1.0,22.0,POINT (1493459.067265714 6899392.148655801),1493459.067265714,6899392.148655801
80,2,100.0,1.0,1.0,1.0,55.0,POINT (1494572.734095691 6898974.183998103),1494572.7340956905,6898974.183998103
81,3,100.0,1.0,1.0,2.0,70.0,POINT (1494252.141677578 6898711.422069768),1494252.1416775784,6898711.422069768
82,4,93.0,1.0,1.0,2.0,80.0,POINT (1494211.136548626 6899219.31320322),1494211.1365486255,6899219.31320322
83,2,100.0,1.0,1.0,1.0,59.0,POINT (1494086.262468101 6899245.2580599),1494086.2624681005,6899245.2580599
84,2,80.0,1.0,1.0,1.0,49.0,POINT (1494446.009683955 6898742.136998466),1494446.0096839552,6898742.136998466
85,3,90.0,2.0,1.0,2.0,79.0,POINT (1494430.737718101 6898702.463553334),1494430.737718101,6898702.463553334
86,4,100.0,1.0,1.0,2.0,85.0,POINT (1494064.508347651 6899157.274618479),1494064.5083476508,6899157.274618479
87,4,91.0,1.0,1.5,1.0,65.0,POINT (1493809.665976584 6898638.787982763),1493809.6659765844,6898638.787982763
89,3,94.0,1.0,1.0,1.0,55.0,POINT (1494373.119810415 6898582.324984376),1494373.1198104152,6898582.324984376
90,4,95.0,2.0,1.0,3.0,165.0,POINT (1494103.904500958 6898344.20361221),1494103.9045009578,6898344.20361221
91,3,100.0,1.0,1.0,2.0,45.0,POINT (1494034.723932167 6898542.050972882),1494034.7239321668,6898542.050972882
95,3,93.0,1.0,1.0,1.0,79.0,POINT (1494321.818067191 6898400.208855195),1494321.8180671907,6898400.208855195
96,4,100.0,2.0,1.0,3.0,93.0,POINT (1494006.282522176 6899220.454868372),1494006.2825221757,6899220.454868372
98,2,80.0,1.0,1.0,1.0,85.0,POINT (1493266.542757316 6899423.856441948),1493266.5427573156,6899423.856441948
100,2,97.0,1.0,1.0,2.0,100.0,POINT (1494083.145915039 6898542.997700505),1494083.1459150387,6898542.997700505
101,4,91.0,2.0,1.0,2.0,110.0,POINT (1493212.229789442 6899305.633054184),1493212.2297894417,6899305.633054184
